Français,Ewondo,Part of Speech
abords,a-kúg,nom
aborigène,ǹ-nam,nom
aborigène,-atɔbɔ ǹnama,nom
aborigène,-byálí byali,nom
aborigène,ǹ-kas,nom
abortif,e-kúli,nom
abouchement,a-tóbán,nom
abouchement,e-bǒŋ,nom
abouchement,ǹ-tóbán,nom
aboucher,sɔ́bɔ,verbe
aboulie,á zəməle,nom
aboulie,e-lɛ̌s,nom
about,o-dzɔ́n,nom
aboutement,e-lad,nom
aboutement,o-dzɔ́n,nom
abouter,bɛ,verbe
abouter,dzɔ́n,verbe
abouter,lad,verbe
abouter,tóban,verbe
abouter,woŋ,verbe
abouti,m̀-kpáán,nom
abouti à,m̀-bomán,nom
aboutir,kə(l),verbe
aboutir,kwí,verbe
aboutir,lod,verbe
aboutir,tóban,verbe
aboutir à,boman,verbe
aboutir à,túlan,verbe
aboutir à un bon résultat,kyəbə,verbe
aboutir accidentellement,vân,verbe
aboutissement,-ndɔ́ŋ,nom
aboutissement,-ngie,nom
aboutissement,e-yíliga,nom
aboutissement,mə-maná,nom
aboutissement,m̀-kpáán,nom
aboyer,bón,verbe
abracadabrant,e-vəmba,adjectif
abraser,síbi,verbe
abrasif,ǹ-síb,nom
abrasif,sîban,adjectif
abrasion,ǹ-síb,nom
abréaction,e-sóan,nom
abréaction,mə-sóan,nom
abrégé,-tsígíbí,nom
abrégé,ǹ-tsígán,nom
abrégé,o-bálabas,nom
abrègement,ǹ-tsígán,nom
abréger,bɔ́dɔ,verbe
abréger,səg,verbe
abréger,tsíg,verbe
abréger,tunubu,verbe
abreuvement,e-wé,nom
